"id";"artista";"musica";"generos";"genero_principal";"album";"key";"duracao";"popularidade";"acustico";"discurso";"vivacidade";"instrumentalidade";"energia";"tempo";"time_signature";"sonoridade";"dancabilidade";"valencia"
"4wcBRRpIfesgcyUtis7PEg";"Olivia Rodrigo";"1 step forward, 3 steps back";"pop";"Pop";"SOUR";"D";163586;74;0,941;0,102;0,126;0;0,203;168,884;4;-12,627;0,473;0,419
"4QtiVmuA88tPQiCOHZuQ5b";"Sofía Reyes";"1, 2, 3 (feat. Jason Derulo & De La Ghetto)";"dance pop, latin pop, mexican pop";"Pop";"1, 2, 3 (feat. Jason Derulo & De La Ghetto)";"Cs";201526;69;0,165;0,0589;0,0501;0;0,895;94,968;4;-3,112;0,792;0,794
"2wOXxtHZgRkkrkEbKLzzqs";"21 Savage";"1.5";"atl hip hop, rap";"HipHop";"i am > i was";"Cs";148655;60;0,000244;0,359;0,454;1,16e-06;0,52;84,022;4;-8,353;0,885;0,306
"12d5QFwzh60IIHlsSnAvps";"Drake";"10 Bands";"canadian hip hop, canadian pop, hip hop, rap, toronto rap";"Pop";"If You're Reading This It's Too Late";"B";177733;63;0,265;0,383;0,0762;2,15e-06;0,756;172,938;4;-3,687;0,825;0,888
"0IiKAVTo9uL6UpiC9FYWkI";"Bon Iver";"10 d E A T h b R E a s T ⚄ ⚄";"eau claire indie, indie folk, melancholia";"Indie";"22, A Million";"Gs";144000;43;0,302;0,157;0,0532;0,113;0,789;109,202;4;-7,031;0,69;0,73
"7DHNcoR73yUYCSn6PqBgkH";"Tory Lanez";"10 F*CKS (with Mansa)";"canadian hip hop, canadian trap, melodic rap, pop rap, r&b, rap, toronto rap, trap";"Pop";"The New Toronto 3";"B";169763;54;0,048;0,116;0,207;0;0,562;88,027;4;-10,326;0,709;0,265
"0yQCHkrxQDVyMc5I8D65yC";"Juice WRLD";"10 Feet";"chicago rap, melodic rap";"Rap";"Death Race For Love (Bonus Track Version)";"Fs";212311;60;0,466;0,184;0,263;0,000593;0,682;104,014;4;-7,698;0,675;0,525
"0AluA5RNsa4Cx6XRhf2hWZ";"Metro Boomin";"10 Freaky Girls (with 21 Savage)";"rap";"Rap";"NOT ALL HEROES WEAR CAPES (Deluxe)";"Fs";208293;75;0,588;0,31;0,102;0;0,353;88,031;4;-9,931;0,81;0,0727
"6Jkm5kUldvIqxzI1Pa7nXH";"Leah Kate";"10 Things I Hate About You";"alt z, pop, post-teen pop, social media pop";"Pop";"10 Things I Hate About You";"Gs";157138;72;0,00991;0,0501;0,169;0;0,786;153,967;4;-2,97;0,544;0,446
"6N6HSN3zytFXva8LTUUvIL";"Daði Freyr";"10 Years";"icelandic pop, sunnlensk tonlist";"Pop";"10 Years";"D";166000;52;0,0141;0,0391;0,0926;0,000148;0,621;123,038;4;-6,916;0,798;0,443
"03d81SCfGHcbsdbaOmXmbS";"Dan + Shay";"10,000 Hours";"contemporary country, country, country road, pop";"Pop";"Love Songs";"As";167693;0;0,149;0,0259;0,111;0;0,63;89,991;4;-4,644;0,654;0,43
"6BePGk3eCan4FqaW2X8Qy3";"Tiësto";"10:35";"big room, brostep, dance pop, dutch edm, edm, house, pop, pop dance, slap house, trance, tropical house";"Pop";"10:35";"Gs";172252;87;0,0683;0,097;0,18;3,78e-06;0,793;120,003;4;-5,733;0,696;0,698
"2sqgNScWya6T8PwKMELYW8";"Anuel AA";"100";"reggaeton, reggaeton flow, trap boricua, trap latino, urbano latino";"Reggaeton";"Los Dioses";"As";215293;49;0,554;0,155;0,251;2,07e-06;0,455;95,097;4;-5,698;0,769;0,293
"5kiRbzj2CIBeIN4tCyJ8bC";"The Game";"100 (feat. Drake)";"gangster rap, hip hop, pop rap, rap, southern hip hop";"Pop";"100 (feat. Drake)";"E";334360;39;0,0136;0,28;0,179;0;0,521;108,025;4;-9,871;0,801;0,412
"5duCElafuovM4ZSmkQL4hn";"Mustard";"100 Bands (feat. Quavo, 21 Savage, YG & Meek Mill)";"cali rap, hip hop, pop, pop rap, rap, southern hip hop, trap";"Pop";"100 Bands (feat. Quavo, 21 Savage, YG & Meek Mill)";"A";179387;45;0,0104;0,338;0,0917;0;0,493;93,016;4;-6,775;0,871;0,157
"4CstQ0SUkl0YkoeZkIZlIx";"Logic";"100 Miles and Running (ft. Wale & John Lindahl)";"conscious hip hop, dmv rap, hip hop, pop rap, rap";"Pop";"YSIV";"G";353453;52;0,579;0,0653;0,38;1,28e-06;0,929;119,047;4;-3,595;0,835;0,96
"4Ixc50wY5pbUvNEogTQ2wL";"Bad Bunny";"100 MILLONES";"reggaeton, trap latino, urbano latino";"Reggaeton";"100 MILLONES";"Cs";237459;61;0,133;0,452;0,0966;6,57e-06;0,559;169,103;4;-6,936;0,808;0,48
"5Zvp0QO5e9cGhYHywdrfyQ";"D'Angelo";"1000 Deaths";"funk, indie soul, neo soul, soul, urban contemporary";"Soul";"Black Messiah";"As";349693;33;0,0083;0,24;0,131;0,362;0,807;86,909;4;-9,236;0,642;0,635
"62hTXlVQacy3pjBW4ntRPl";"Lady Gaga";"1000 Doves";"art pop, dance pop, pop";"Pop";"Chromatica";"A";215480;50;0,0236;0,0383;0,474;1,07e-05;0,826;122,973;4;-4,466;0,668;0,388
"4vIKzWqtn44umal5jXq4wE";"Ed Sheeran";"1000 Nights (feat. Meek Mill & A Boogie Wit da Hoodie)";"pop, uk pop";"Pop";"No.6 Collaborations Project";"Gs";212306;49;0,467;0,269;0,0902;0;0,589;98,001;4;-5,548;0,778;0,513
"033if6Adj8fwBYsQzHOfQ8";"Capital Bra";"100k Cash";"german hip hop";"HipHop";"100k Cash";"As";173352;41;0,289;0,524;0,0883;0;0,714;86,91;4;-5,906;0,701;0,604
"00KjOnN3U40e3lXFUOue7h";"Metro Boomin";"10AM/Save The World (feat. Gucci Mane)";"rap";"Rap";"NOT ALL HEROES WEAR CAPES (Deluxe)";"Gs";226320;53;0,257;0,239;0,189;0;0,501;136,025;4;-8,84;0,719;0,419
"4mGdjNMo0RonTlOEb7cYg4";"YUNGBLUD";"11 Minutes (with Halsey feat. Travis Barker)";"british indie rock, modern rock, rock";"Rock";"11 Minutes (with Halsey feat. Travis Barker)";"B";239507;61;0,0116;0,067;0,108;0;0,852;160,075;4;-3,804;0,464;0,233
"7KbF6AdprOXEEHlsq11Z6d";"Maluma";"11 PM";"reggaeton, reggaeton colombiano, urbano latino";"Reggaeton";"11:11";"As";175733;71;0,217;0,277;0,091;0;0,712;95,692;4;-4,84;0,777;0,68
"5sdQ7VUx6GOfsRoSxnK1YG";"Capital Bra";"110";"german hip hop";"HipHop";"110";"Cs";194534;54;0,533;0,432;0,0997;0;0,749;179,056;4;-5,057;0,48;0,419
"3oNkIbddVXyzZrUtpUTEOd";"Booba";"113";"french hip hop, old school rap francais, pop urbaine, rap conscient";"Pop";"Trône";"C";153840;47;0,169;0,0645;0,11;0,0125;0,857;143,953;4;-4,059;0,731;0,26
"011ZwIM48eD8ee2UBpG8nK";"Childish Gambino";"12.38 (feat. 21 Savage, Ink & Kadhja Bonet)";"atl hip hop, hip hop, pop, rap";"Pop";"3.15.20";"F";392186;56;0,197;0,16;0,488;4,29e-05;0,524;164,047;4;-9,718;0,691;0,41
"3KJ3opyV29269SXkPrc19l";"Bad Bunny";"120";"reggaeton, trap latino, urbano latino";"Reggaeton";"EL ÚLTIMO TOUR DEL MUNDO";"D";151506;73;0,451;0,0676;0,287;7,97e-06;0,656;171,918;4;-5,542;0,636;0,439
"3ZKRAzNAsiJrBGUM2BX9av";"Lana Del Rey";"13 Beaches";"art pop, pop";"Pop";"Lust For Life";"G";295569;62;0,539;0,0364;0,163;0,0772;0,389;144,204;4;-9,132;0,333;0,25
"1MX0g22bQkr9HDVe37fLnN";"BTS";"134340";"k-pop, k-pop boy group";"Pop";"Love Yourself 轉 'Tear'";"B";230063;63;0,155;0,0547;0,173;9,28e-05;0,687;106,023;4;-6,466;0,665;0,651
"75lcPkAkUsKWHGBlGM476R";"Trippie Redd";"1400 / 999 Freestyle";"melodic rap, rap, trap";"Rap";"A Love Letter To You 3";"Fs";175954;73;0,0079;0,0864;0,113;0;0,572;141,991;4;-6,067;0,825;0,568
"6akBF8JWM8lrpqejdwIfYI";"Lil Peep";"16 Lines";"emo rap, lgbtq+ hip hop";"HipHop";"Come Over When You're Sober, Pt. 2";"C";244906;66;0,0663;0,0338;0,107;1,12e-05;0,45;105,992;4;-8,507;0,607;0,121
"5YqYLur57vzjL0Ts8fk0G2";"VIC MENSA";"16 Shots";"chicago rap, conscious hip hop, hip hop, pop rap, rap, trap, underground hip hop";"Pop";"There's Alot Going On";"Fs";345746;30;0,219;0,368;0,104;0;0,693;93,385;4;-7,099;0,512;0,127
"3JjnGLK8IxkNLvo8Lb3KOM";"One Direction";"18";"boy band, pop, post-teen pop, talent show";"Pop";"FOUR (Deluxe)";"Fs";248360;78;0,22;0,0313;0,119;0;0,582;124,038;4;-7,76;0,681;0,221
"5tz69p7tJuGPeMGwNTxYuV";"Logic";"1-800-273-8255";"conscious hip hop, dmv rap, hip hop, pop rap, rap";"Pop";"Everybody";"F";250173;73;0,569;0,0479;0,19;0;0,574;100,023;4;-7,788;0,62;0,357
"794QVQtFNy7hvtjQP1keQd";"G-Eazy";"1942 (feat. Yo Gotti & YBN Nahmir)";"hip hop, indie pop rap, oakland hip hop, pop, pop rap, rap";"Pop";"1942 (feat. Yo Gotti & YBN Nahmir)";"E";213080;56;0,0152;0,249;0,125;0;0,646;162,898;4;-5,12;0,817;0,835
"2nxTpjhxLXeyBOxYnRnT76";"Jamala";"1944";"tatar pop, ukrainian indie, ukrainian pop, ukrainian rock";"Rock";"1944";"Ds";180839;46;0,596;0,0565;0,24;0,00728;0,506;120,012;4;-5,235;0,809;0,47
"0CZ8lquoTX2Dkg7Ak2inwA";"King Princess";"1950";"alt z, art pop, electropop, indie pop, indie poptimism, nyc pop, pop";"Pop";"1950";"E";225133;67;0,648;0,107;0,162;4,7e-06;0,535;71,912;4;-7,043;0,6;0,269
"7EulRO07ZgchxqKUHb8Pvc";"J. Cole";"1985 - Intro to “The Fall Off”";"conscious hip hop, hip hop, north carolina hip hop, rap";"HipHop";"KOD";"D";190176;61;0,145;0,445;0,182;0;0,648;94,378;4;-5,892;0,679;0,635
"05mAIVLkIWc2d1UBYZBCp8";"Charli XCX";"1999";"art pop, candy pop, dance pop, electropop, metropopolis, pop, post-teen pop, uk pop";"Pop";"1999";"G";189000;56;0,0227;0,0329;0,229;1,39e-06;0,742;124,016;4;-4,586;0,739;0,659
"0FqBNLXlTNimxmVRdDMj6b";"Joji";"1AM FREESTYLE";"viral pop";"Pop";"SMITHEREENS";"C";113066;69;0,748;0,0263;0,12;0,00268;0,541;126,049;4;-6,307;0,615;0,124
"6sIbv1oWOuma2qV907MUbk";"Bring Me The Horizon";"1x1 (feat. Nova Twins)";"melodic metalcore, metalcore, rock, uk metalcore";"Rock";"POST HUMAN: SURVIVAL HORROR";"Cs";209598;64;0,000209;0,161;0,606;3,61e-06;0,937;164,032;4;-3,346;0,452;0,604
"7m8pZjvYzvhYdTkWYB7qNb";"Lizzo";"2 Be Loved (Am I Ready)";"dance pop, escape room, minnesota hip hop, pop, trap queen";"Pop";"Date Night";"G";187107;0;0,0922;0,105;0,0817;0;0,769;155,932;4;-4,111;0,721;0,915
"3bi8yEuK44vLcbjHkPH0u1";"Coleman Hell";"2 Heads";"canadian pop, indie poptimism, pop rock";"Rock";"2 Heads";"C";213706;48;0,0621;0,0367;0,104;0,000324;0,565;120,006;4;-8,515;0,733;0,35
"0oaY19dUwZimIgzn3ZZLZO";"Justin Bieber";"2 Much";"canadian pop, pop";"Pop";"Justice";"A";152796;64;0,593;0,0456;0,353;0;0,444;119,59;4;-8,601;0,583;0,167
"3jVtllWS5CFFWLQng8sKsr";"Tinashe";"2 On (feat. ScHoolboy Q)";"alternative r&b, dance pop, electropop, metropopolis, pop, pop r&b, post-teen pop, r&b, rap, urban contemporary";"Pop";"Aquarius";"A";227000;69;0,15;0,107;0,111;0;0,595;101,013;4;-7,51;0,742;0,431
"0wdKiSBUT7aZkXUIdJWcwC";"Kevin Gates";"2 Phones";"baton rouge rap, pop rap, rap, southern hip hop, trap";"Pop";"Islah (Deluxe)";"G";240000;64;0,157;0,358;0,189;0;0,681;121,918;4;-5,267;0,895;0,554
"71R8HJxQk5qMiRstrlXN9t";"Rauw Alejandro";"2/Catorce";"puerto rican pop, trap latino, urbano latino";"Pop";"2/Catorce";"Ds";212031;67;0,675;0,224;0,12;1,08e-05;0,455;83,876;4;-5,988;0,54;0,432
"74znaWw1hmQBusGPSOuTFy";"MYA";"2:50 Remix";"cumbia pop, latin pop, latin viral pop, pop argentino";"Pop";"2:50 Remix";"A";231708;64;0,112;0,0475;0,234;0;0,812;139,966;4;-4,425;0,818;0,844
"5b06JZjts6dgyyuY1m7roq";"Future";"200";"atl hip hop, rap, southern hip hop, trap";"HipHop";"SUPER SLIMEY";"Cs";146986;48;0,00924;0,262;0,201;0;0,65;145,972;4;-6,708;0,84;0,527
"2PGA1AsJal6cyMNmKyE56q";"Apache 207";"200 km/h";"german hip hop";"HipHop";"Platte";"B";163146;64;0,269;0,163;0,105;1,38e-05;0,67;148,065;4;-6,455;0,899;0,413
"5jGUJXnELDaDTgiRjD9lsg";"Bad Bunny";"200 Mph";"reggaeton, trap latino, urbano latino";"Reggaeton";"X 100PRE";"Gs";170509;64;0,0139;0,0665;0,0947;0,000384;0,5;160,02;4;-6,708;0,85;0,816
"5wTM2Bm8phDwHAuOsfBwhU";"Pretenders";"2000 Miles - 2007 Remaster";"album rock, art rock, classic rock, folk rock, mellow gold, new romantic, new wave, new wave pop, permanent wave, pop rock, rock, soft rock";"Rock";"Learning to Crawl (Expanded & Remastered)";"G";220426;60;0,00292;0,035;0,102;0,0267;0,708;66,214;4;-9,051;0,22;0,453
"2BgEsaKNfHUdlh97KmvFyo";"Anne-Marie";"2002";"dance pop, pop, pop dance, post-teen pop, tropical house, uk pop";"Pop";"Speak Your Mind (Deluxe)";"Cs";186986;77;0,0372;0,117;0,137;0;0,683;96,133;4;-2,881;0,697;0,603
"2u8AXJyk8pICzj2wyPBL0b";"Sido";"2002";"german hip hop";"HipHop";"Ich & keine Maske";"Gs";237157;64;0,213;0,236;0,099;0;0,691;160,106;4;-7,907;0,657;0,493
"6dFn6my1sHK2bcf23GlHwM";"Mac Miller";"2009";"hip hop, pittsburgh rap, rap";"HipHop";"Swimming";"Fs";347986;65;0,77;0,517;0,0969;0,000164;0,496;155,158;4;-9,363;0,533;0,173
"6bM4daGlfZHtKMQp8tEqVz";"Bausa";"2012";"german hip hop";"HipHop";"2012";"F";170200;50;0,218;0,0771;0,114;0;0,619;98,995;4;-7,907;0,805;0,476
"2ELp0EL65yitpfJYwc5983";"Lil Baby";"2040";"atl hip hop, atl trap, rap, trap";"HipHop";"The Voice of the Heroes";"B";192920;59;0,0415;0,136;0,112;0;0,697;150,046;4;-4,067;0,744;0,238
"4XvcHTUfIlWfyJTRG0aqlo";"Sleepy Hallow";"2055";"brooklyn drill, nyc rap";"Rap";"Still Sleep?";"Fs";123986;77;0,492;0,187;0,12;0;0,512;80,511;4;-5,865;0,829;0,638
"3JKgcAa7r07ocVWcV8bS0H";"Polo G";"21";"chicago rap, rap";"Rap";"THE GOAT";"G";163797;73;0,149;0,541;0,101;0;0,479;176,027;4;-10,646;0,783;0,533
"1YDprEDVX5H0WQj9aBiEdA";"Hunter Hayes";"21";"contemporary country, country, country road, modern country rock, neo mellow, pop, pop rock, post-teen pop";"Rock";"21";"B";194480;30;0,0586;0,0433;0,218;0;0,9;160,096;4;-4,366;0,501;0,943
"3QGxgNaqaFSpORp2OVLXHR";"Chefin";"212";"funk carioca";"Funk";"212";"D";150610;67;0,659;0,0697;0,085;0;0,519;154,037;4;-4,84;0,789;0,857
"3EYj5rxRbNM3nijF9dOtry";"Bon Iver";"22 (OVER S∞∞N)";"eau claire indie, indie folk, melancholia";"Indie";"22, A Million";"Cs";168000;50;0,972;0,0351;0,0935;0,106;0,112;86,564;4;-15,767;0,323;0,0996
"3yII7UwgLF6K5zW3xad3MP";"Taylor Swift";"22 (Taylor's Version)";"pop";"Pop";"Red (Taylor's Version)";"G";230960;67;0,000443;0,0281;0,0753;1,02e-05;0,695;103,984;4;-5,62;0,642;0,642
"15RRpHBNzv0gvjIry4jyOs";"Ultimo";"22 settembre";"italian adult pop, italian pop";"Pop";"22 settembre";"C";230693;51;0,175;0,0369;0,0869;0;0,488;146,82;3;-6,225;0,46;0,341
"4sjiIpEv617LDXaidKioOI";"YNW Melly";"223's (feat. 9lokknine)";"melodic rap, trap, viral rap";"Rap";"223's (feat. 9lokknine)";"C";176640;62;0,0388;0,333;0,0924;0;0,547;94,998;4;-7,787;0,932;0,695
"1G7vCwBCxeTe8fB0EGMDdq";"Randy";"23 (With Ape Drums)";"latin hip hop, perreo, reggaeton, reggaeton flow, urbano latino";"HipHop";"Romances";"Fs";167504;58;0,0424;0,0715;0,468;1,68e-06;0,724;96,058;4;-3,555;0,828;0,896
"68RhNM8ehkarnEKnCkqlsp";"Kanye West";"24";"chicago rap, rap";"Rap";"Donda";"F";197898;57;0,129;0,0389;0,351;0;0,534;110,057;4;-6,086;0,386;0,343
"7v96VvFLS0wSYT8kewNLRy";"Money Man";"24 (feat. Lil Baby)";"memphis hip hop, rap, southern hip hop, trap";"HipHop";"24 (feat. Lil Baby)";"D";182857;63;0,146;0,0736;0,0931;0,0565;0,638;126,03;4;-7,746;0,868;0,459
"385VOmGbguaPG57TgoW8Lh";"Shawn Mendes";"24 Hours";"canadian pop, dance pop, pop, viral pop";"Pop";"Wonder";"F";150781;52;0,488;0,0557;0,124;0,00603;0,368;84,224;4;-8,132;0,351;0,362
"7LCElzlYw3myTHvC2MQWve";"Samra";"24 Stunden";"german hip hop";"HipHop";"24 Stunden";"B";174082;46;0,268;0,281;0,124;0;0,715;105,022;4;-6,977;0,79;0,187
"6b8Be6ljOzmkOmFslEb23P";"Bruno Mars";"24K Magic";"dance pop, pop";"Pop";"24K Magic";"Cs";225983;76;0,034;0,0797;0,153;0;0,803;106,97;4;-4,282;0,818;0,632
"2lUDBd7JrgAMltcp6dcd7D";"Roddy Ricch";"25 million";"melodic rap, rap, trap";"Rap";"LIVE LIFE FAST";"A";204626;59;0,019;0,124;0,139;1,09e-06;0,481;132,202;4;-9,258;0,793;0,395
"4NqQaovM14WR2hNPMFxgjb";"Bad Bunny";"25/8";"reggaeton, trap latino, urbano latino";"Reggaeton";"YHLQMDLG";"E";243275;67;0,092;0,0549;0,0716;0;0,732;151,982;4;-5,469;0,761;0,542
"6tsVFchreYTt2OPXSOoFCX";"Gunna";"25k jacket (feat. Lil Baby)";"atl hip hop, hip hop, melodic rap, rap, trap";"HipHop";"DS4EVER";"F";120000;64;0,16;0,283;0,129;0;0,537;115,013;4;-6,854;0,903;0,737
"3AqSBtredpPyT18rEYl1vK";"Agust D";"28 (feat. NiiHWA)";"k-rap";"Rap";"D-2";"A";133673;61;0,0897;0,0513;0,121;0;0,645;119,934;4;-7,107;0,679;0,349
"1Y8V7yhFFrFjzBQtOH4ap7";"Apache 207";"28 Liter";"german hip hop";"HipHop";"Treppenhaus";"Cs";173226;53;0,0785;0,0504;0,099;0,000442;0,552;109,989;4;-6,854;0,81;0,269
"3gXWe15nwrjfhjYQ5RqLx7";"Demi Lovato";"29";"dance pop, pop, post-teen pop";"Pop";"29";"Cs";163027;65;0,00507;0,0542;0,249;0;0,698;183,963;4;-3,812;0,322;0,288
"5qngJJcuGPqUyX3VPKvH11";"Bon Iver";"29 #Strafford APTS";"eau claire indie, indie folk, melancholia";"Indie";"22, A Million";"E";245200;51;0,971;0,0327;0,109;0,408;0,229;80,728;4;-14,678;0,287;0,155
"5W7DOVGQLTigu09afW7QMT";"Sidhu Moose Wala";"295";"desi hip hop, desi pop, pakistani hip hop, punjabi hip hop";"Pop";"Moosetape";"B";270000;74;0,179;0,2;0,106;0;0,794;91,366;4;-5,698;0,557;0,432
"6hRqYc8w2Rglhj2RRWyEyp";"RAF Camora";"2CB";"german hip hop";"HipHop";"2CB";"As";172288;40;0,456;0,206;0,118;0,39;0,722;125,041;4;-6,456;0,819;0,352
"5nL0vuUo0oBm26obUe5Ogu";"thasup";"2ollipop";"italian hip hop, italian pop, trap italiana";"Pop";"23 6451";"G";149305;41;0,31;0,0988;0,0745;0;0,756;160,049;4;-5,402;0,768;0,856
"72DbvEOeqtJbKAX9GLzRER";"Ed Sheeran";"2step (feat. Chefin)";"pop, uk pop";"Pop";"2step (feat. Chefin)";"E";164560;53;0,209;0,0695;0,242;0;0,642;94,961;4;-5,106;0,731;0,504
"3A7qX2QjDlPnazUsRk5y0M";"David Guetta";"2U (feat. Justin Bieber)";"big room, dance pop, edm, pop, pop dance";"Pop";"2U (feat. Justin Bieber)";"Gs";194896;63;0,219;0,0591;0,225;0;0,65;144,937;4;-5,827;0,548;0,557
"0yyZN5ASdrYu0XYWFzfxUu";"Jesse & Joy";"3 A.M.";"latin arena pop, latin pop, mexican pop";"Pop";"3 A.M.";"C";183573;65;0,0112;0,0879;0,119;0;0,84;101,99;4;-3,547;0,702;0,624
"1uryupl9hqVZYurJwH4G9k";"Guilherme & Benuto";"3 Batidas - Ao Vivo";"arrocha";"Arrocha";"3 Batidas (Ao Vivo)";"Gs";157186;60;0,611;0,129;0,763;0;0,709;117,581;4;-5,435;0,552;0,527
